"","x"
"1",284.960784912109
"2",286.227905273438
"3",284.721923828125
"4",283.049743652344
"5",280.325134277344
"6",278.216735839844
"7",279.334991455078
"8",279.193054199219
"9",281.744567871094
"10",283.106872558594
"11",283.480773925781
"12",286.927215576172
"13",289.357574462891
"14",287.739074707031
"15",285.582214355469
"16",281.715118408203
"17",280.761352539062
"18",278.637390136719
"19",278.890106201172
"20",278.195983886719
"21",281.659729003906
"22",281.957489013672
"23",282.11328125
"24",285.004058837891
"25",285.480102539062
"26",285.407379150391
"27",285.783020019531
"28",281.954010009766
"29",280.917144775391
"30",279.125518798828
"31",278.730865478516
"32",278.678924560547
"33",280.712860107422
"34",282.357330322266
"35",283.570770263672
"36",285.294891357422
"37",286.757598876953
"38",286.973968505859
"39",285.473175048828
"40",283.297271728516
"41",281.929779052734
"42",278.644317626953
"43",278.223663330078
"44",278.493713378906
"45",279.875061035156
"46",281.947082519531
"47",283.397674560547
"48",283.982757568359
"49",288.592468261719
"50",285.568389892578
"51",284.084899902344
"52",283.167449951172
"53",280.853088378906
"54",279.743499755859
"55",278.360412597656
"56",279.345367431641
"57",280.394378662109
"58",281.876129150391
"59",283.371704101562
"60",286.312713623047
"61",286.328308105469
"62",287.098602294922
"63",285.3935546875
"64",283.41845703125
"65",280.782104492188
"66",278.813934326172
"67",278.665069580078
"68",279.721008300781
"69",280.707672119141
"70",282.002471923828
"71",281.997283935547
"72",286.25732421875
"73",287.145324707031
"74",290.449859619141
"75",287.853332519531
"76",283.643493652344
"77",281.61474609375
"78",279.246704101562
"79",278.573333740234
"80",278.150970458984
"81",280.380523681641
"82",281.226989746094
"83",281.86572265625
"84",283.158813476562
"85",285.055999755859
"86",286.726440429688
"87",284.775573730469
"88",283.060119628906
"89",281.034851074219
"90",281.244293212891
"91",278.483337402344
"92",279.895843505859
"93",280.396087646484
"94",281.034851074219
"95",282.501007080078
"96",284.612854003906
"97",285.076782226562
"98",286.726440429688
"99",284.624969482422
"100",283.113800048828
"101",280.870391845703
"102",278.523132324219
"103",277.539916992188
"104",278.452178955078
"105",279.459625244141
"106",280.778656005859
"107",284.746154785156
"108",283.994873046875
"109",289.21044921875
"110",286.169036865234
"111",285.426422119141
"112",283.328430175781
"113",280.667877197266
"114",279.906219482422
"115",278.910888671875
"116",278.824340820312
"117",279.021667480469
"118",281.857086181641
"119",285.123504638672
"120",285.675689697266
"121",288.228942871094
"122",285.783020019531
"123",285.557983398438
"124",282.137512207031
"125",280.245483398438
"126",278.097320556641
"127",278.654693603516
"128",277.996917724609
"129",280.181457519531
"130",281.895172119141
"131",281.554138183594
"132",287.919097900391
"133",289.774749755859
"134",288.187408447266
"135",285.509521484375
"136",284.228576660156
"137",281.363739013672
"138",279.894104003906
"139",278.763732910156
"140",279.371337890625
"141",281.128326416016
"142",283.144958496094
"143",284.154144287109
"144",286.5654296875
"145",287.912170410156
"146",286.233093261719
"147",285.732818603516
"148",282.807403564453
"149",280.397827148438
"150",280.61767578125
"151",278.687591552734
"152",278.850311279297
"153",279.921783447266
"154",280.458404541016
"155",283.255737304688
"156",286.309265136719
"157",288.014312744141
"158",285.518188476562
"159",285.000610351562
"160",281.851898193359
"161",279.869873046875
"162",279.078796386719
"163",277.311431884766
"164",278.929931640625
"165",280.382263183594
"166",284.483032226562
"167",283.089569091797
"168",285.519897460938
"169",284.713256835938
"170",285.743225097656
"171",283.880645751953
"172",283.499816894531
"173",280.884246826172
"174",278.985321044922
"175",278.459075927734
"176",278.826049804688
"177",280.21435546875
"178",280.905029296875
"179",282.603149414062
"180",282.800476074219
"181",285.218719482422
"182",287.257843017578
"183",284.328979492188
"184",281.734161376953
"185",280.808074951172
"186",279.968536376953
"187",277.995178222656
"188",279.428466796875
"189",280.441101074219
"190",281.929779052734
"191",282.525238037109
"192",286.686614990234
"193",286.928955078125
"194",286.721221923828
"195",286.423492431641
"196",282.265594482422
"197",281.012329101562
"198",278.801818847656
"199",277.873992919922
"200",278.993957519531
"201",280.57958984375
"202",282.031921386719
"203",284.119506835938
"204",284.869049072266
"205",285.230834960938
"206",287.223236083984
"207",284.908874511719
"208",283.234954833984
"209",280.716339111328
"210",280.248962402344
"211",278.803558349609
"212",278.279052734375
"213",279.605010986328
"214",282.057861328125
"215",282.667205810547
"216",284.100463867188
"217",287.134948730469
"218",287.621368408203
"219",285.963043212891
"220",283.468658447266
"221",279.719268798828
"222",278.5283203125
"223",278.452178955078
"224",278.434844970703
"225",279.433654785156
"226",280.846160888672
"227",281.228729248047
"228",285.085418701172
"229",286.766235351562
"230",288.440124511719
"231",285.687805175781
"232",282.978790283203
"233",280.840972900391
"234",277.981323242188
"235",279.397308349609
"236",279.540985107422
"237",277.877471923828
"238",281.910736083984
"239",284.069305419922
"240",283.253997802734
"241",287.498474121094
"242",286.037475585938
"243",285.313903808594
"244",283.792358398438
"245",279.997955322266
"246",279.378265380859
"247",278.730865478516
"248",277.977874755859
"249",278.564666748047
"250",280.484375
"251",284.552276611328
"252",285.054260253906
"253",288.447052001953
"254",289.527221679688
"255",286.724700927734
"256",284.308197021484
"257",280.165863037109
"258",278.832977294922
"259",278.720458984375
"260",278.268676757812
"261",279.587707519531
"262",280.217803955078
"263",283.122436523438
"264",285.275848388672
"265",287.458648681641
"266",289.215637207031
"267",284.941741943359
"268",283.018585205078
"269",281.258148193359
"270",278.865875244141
"271",278.138854980469
"272",279.303833007812
"273",280.825378417969
"274",281.870910644531
"275",283.505004882812
"276",284.727111816406
"277",287.382476806641
"278",287.830810546875
"279",283.506744384766
"280",283.536163330078
"281",281.613006591797
"282",277.579742431641
"283",279.215545654297
"284",278.523132324219
"285",280.304351806641
"286",282.838562011719
"287",282.940704345703
"288",286.508331298828
"289",289.148132324219
"290",286.655456542969
"291",287.280364990234
"292",283.008209228516
"293",280.643646240234
"294",279.445770263672
"295",278.358703613281
"296",278.370819091797
"297",279.149749755859
"298",281.477996826172
"299",282.443878173828
"300",284.107391357422
"301",285.128692626953
"302",287.515777587891
"303",284.432830810547
"304",282.227508544922
"305",280.792510986328
"306",278.446960449219
"307",278.779327392578
"308",278.327545166016
"309",280.8876953125
"310",281.53857421875
"311",284.479553222656
"312",286.395812988281
"313",286.525634765625
"314",287.785797119141
"315",285.513000488281
"316",282.817779541016
"317",280.347625732422
"318",278.365600585938
"319",278.426208496094
"320",278.545654296875
"321",280.273193359375
"322",281.192352294922
"323",283.759460449219
"324",284.425903320312
"325",286.906463623047
"326",287.112457275391
"327",285.608184814453
"328",281.734161376953
"329",280.027404785156
"330",278.497161865234
"331",278.022857666016
"332",279.511535644531
"333",278.985321044922
"334",282.177307128906
"335",282.828186035156
"336",284.586883544922
"337",285.836700439453
"338",286.020172119141
"339",285.473175048828
"340",282.679321289062
"341",281.891693115234
"342",278.036712646484
"343",277.915557861328
"344",278.137115478516
"345",280.648834228516
"346",281.737640380859
"347",283.828704833984
"348",285.29833984375
"349",287.690368652344
"350",287.291900634766
"351",285.992431640625
"352",282.007598876953
"353",279.782440185547
"354",280.658752441406
"355",278.840881347656
"356",278.445922851562
"357",279.972869873047
"358",282.169799804688
"359",283.864227294922
"360",284.618896484375
"361",285.643310546875
"362",285.294189453125
"363",283.800750732422
"364",284.320892333984
"365",282.827484130859
"366",280.087463378906
"367",278.594024658203
"368",280.105102539062
"369",280.83154296875
"370",282.026977539062
"371",284.232757568359
"372",286.775268554688
"373",289.100921630859
"374",289.021606445312
"375",285.035003662109
